Card_ID,Customer_ID,Card_Type,Credit_Limit,Annual_Fee,Card_Status,Account_Open_Date
CARD200001,C109405,Gold,200000,1000,Active,2023-07-17
CARD200002,C108803,Blue,100000,0,Active,2023-05-31
CARD200003,C105879,Platinum,150000,0,Active,2023-12-25
CARD200004,C109855,Gold,150000,5000,Active,2019-01-23
CARD200005,C103629,Blue,50000,0,Active,2023-10-16
CARD200006,C109610,Platinum,150000,500,Active,2024-05-11
CARD200007,C105662,Platinum,150000,5000,Active,2022-05-07
CARD200008,C105587,Platinum,150000,1000,Active,2023-03-07
CARD200009,C104371,Blue,150000,500,Active,2021-05-07
CARD200010,C102710,Blue,75000,500,Active,2017-05-21
CARD200011,C108861,Platinum,75000,0,Active,2017-07-19
CARD200012,C101049,Platinum,75000,2500,Active,2022-06-03
CARD200013,C107474,Platinum,75000,2500,Active,2021-02-11
CARD200014,C102541,Gold,100000,5000,Active,2017-04-09
CARD200015,C106380,Blue,75000,2500,Active,2023-02-08
CARD200016,C102132,Gold,500000,500,Active,2017-05-19
CARD200017,C108686,Blue,50000,0,Inactive,2017-11-06
CARD200018,C108708,Gold,200000,2500,Blocked,2018-01-15
CARD200019,C109095,Gold,100000,0,Active,2018-06-13
CARD200020,C104679,Gold,150000,500,Active,2023-08-20
CARD200021,C102596,Gold,100000,1000,Closed,2017-01-25
CARD200022,C107989,Blue,300000,2500,Active,2021-01-09
CARD200023,C107071,Platinum,50000,2500,Active,2017-04-13
CARD200024,C101720,Blue,75000,500,Active,2023-03-06
CARD200025,C108852,Blue,500000,0,Closed,2021-11-14
CARD200026,C105385,Blue,100000,500,Active,2026-03-29
CARD200027,C107574,Gold,75000,2500,Blocked,2018-10-27
CARD200028,C100618,Premium,100000,0,Closed,2025-09-17
CARD200029,C109724,Platinum,50000,500,Inactive,2022-09-18
CARD200030,C101156,Gold,100000,0,Active,2024-06-16
CARD200031,C107064,Gold,100000,1000,Active,2023-03-23
CARD200032,C104107,Blue,75000,1000,Active,2019-10-13
CARD200033,C107023,Gold,50000,1000,Active,2024-03-27
CARD200034,C106118,Blue,150000,0,Active,2024-03-11
CARD200035,C106212,Blue,150000,1000,Active,2024-01-25
CARD200036,C105896,Platinum,200000,0,Active,2020-06-10
CARD200037,C106111,Platinum,75000,500,Active,2023-11-27
CARD200038,C105799,Premium,150000,2500,Active,2018-09-03
CARD200039,C106019,Gold,300000,500,Active,2026-01-03
CARD200040,C109616,Gold,500000,2500,Active,2023-10-22
CARD200041,C103087,Gold,300000,2500,Active,2022-01-17
CARD200042,C104558,Platinum,75000,500,Active,2024-10-05
CARD200043,C103350,Blue,500000,500,Closed,2022-06-18
CARD200044,C103523,Blue,100000,1000,Active,2023-12-18
CARD200045,C104362,Gold,50000,2500,Active,2025-12-16
CARD200046,C105351,Gold,100000,500,Inactive,2020-06-22
CARD200047,C102677,Gold,100000,0,Blocked,2017-12-29
CARD200048,C108773,Platinum,150000,500,Active,2023-07-18
CARD200049,C104331,Platinum,500000,500,Active,2023-01-27
CARD200050,C102841,Gold,200000,5000,Active,2018-05-15
CARD200051,C100860,Gold,150000,2500,Active,2023-09-29
CARD200052,C101182,Gold,75000,2500,Inactive,2023-02-20
CARD200053,C101199,Gold,200000,0,Active,2025-12-29
CARD200054,C108154,Platinum,75000,0,Blocked,2018-05-09
CARD200055,C101457,Blue,75000,5000,Active,2020-02-27
CARD200056,C108367,Blue,100000,0,Active,2017-07-03
CARD200057,C104995,Gold,300000,1000,Active,2021-02-24
CARD200058,C105569,Blue,75000,2500,Active,2017-03-22
CARD200059,C103301,Blue,300000,500,Closed,2023-01-02
CARD200060,C101920,Blue,100000,0,Active,2026-01-12
CARD200061,C104102,Premium,50000,500,Active,2020-03-11
CARD200062,C106068,Platinum,150000,5000,Active,2017-03-03
CARD200063,C102221,Platinum,150000,1000,Active,2018-06-25
CARD200064,C106407,Gold,500000,5000,Active,2020-10-29
CARD200065,C108806,Blue,100000,0,Active,2017-07-15
CARD200066,C109605,Premium,50000,0,Active,2024-02-07
CARD200067,C100437,Blue,100000,1000,Active,2019-02-22
CARD200068,C107289,Platinum,100000,0,Closed,2022-02-07
CARD200069,C100127,Gold,150000,1000,Active,2026-04-15
CARD200070,C107850,Blue,150000,500,Blocked,2017-11-13
CARD200071,C100347,Gold,100000,0,Active,2021-07-05
CARD200072,C105492,Gold,500000,0,Active,2017-12-30
CARD200073,C104746,Platinum,75000,1000,Active,2020-07-30
CARD200074,C109651,Platinum,75000,0,Active,2018-05-24
CARD200075,C106262,Blue,100000,1000,Active,2025-11-29
CARD200076,C109872,Platinum,150000,0,Closed,2018-11-26
CARD200077,C102274,Platinum,150000,0,Active,2023-05-21
CARD200078,C109816,Platinum,200000,2500,Active,2024-12-12
CARD200079,C100071,Blue,50000,5000,Active,2022-02-20
CARD200080,C100034,Gold,300000,0,Active,2022-03-26
CARD200081,C100369,Gold,50000,5000,Active,2023-07-02
CARD200082,C105898,Blue,150000,500,Active,2019-12-05
CARD200083,C101153,Blue,150000,0,Inactive,2021-11-16
CARD200084,C106159,Gold,75000,500,Active,2020-07-28
CARD200085,C102937,Platinum,100000,500,Active,2025-05-13
CARD200086,C103333,Blue,100000,0,Active,2022-10-14
CARD200087,C103305,Platinum,50000,2500,Active,2021-03-18
CARD200088,C102950,Platinum,100000,0,Inactive,2025-01-21
CARD200089,C108649,Platinum,100000,2500,Active,2021-12-09
CARD200090,C107839,Blue,100000,500,Active,2021-03-24
CARD200091,C109034,Gold,100000,5000,Active,2019-06-12
CARD200092,C101287,Premium,500000,500,Closed,2023-08-31
CARD200093,C103090,Blue,300000,0,Active,2019-06-27
CARD200094,C101983,Blue,200000,500,Inactive,2024-12-07
CARD200095,C101024,Gold,500000,500,Active,2022-07-24
CARD200096,C103329,Blue,100000,500,Active,2020-04-18
CARD200097,C102848,Platinum,100000,2500,Active,2017-08-17
CARD200098,C103697,Premium,100000,1000,Active,2021-05-14
CARD200099,C107890,Gold,150000,5000,Active,2024-02-17
CARD200100,C105943,Platinum,200000,1000,Active,2023-10-02
CARD200101,C109615,Platinum,150000,1000,Inactive,2021-10-08
CARD200102,C103600,Gold,75000,0,Active,2024-08-17
CARD200103,C107569,Blue,75000,1000,Active,2022-01-05
CARD200104,C101967,Platinum,100000,1000,Active,2020-04-16
CARD200105,C108778,Platinum,100000,0,Active,2017-02-27
CARD200106,C104336,Blue,100000,0,Active,2024-06-07
CARD200107,C102840,Platinum,150000,0,Active,2017-06-18
CARD200108,C102497,Gold,150000,1000,Active,2024-04-17
CARD200109,C103722,Platinum,100000,1000,Active,2022-06-14
CARD200110,C100114,Gold,200000,500,Active,2018-07-26
CARD200111,C109048,Platinum,100000,0,Active,2021-06-11
CARD200112,C108781,Blue,50000,0,Closed,2022-12-22
CARD200113,C102586,Gold,150000,500,Active,2020-04-13
CARD200114,C107510,Blue,200000,500,Active,2026-01-09
CARD200115,C109466,Gold,150000,1000,Active,2017-06-27
CARD200116,C102227,Blue,75000,2500,Active,2019-10-22
CARD200117,C104690,Gold,100000,1000,Active,2021-05-29
CARD200118,C109540,Platinum,200000,500,Active,2021-06-02
CARD200119,C100742,Blue,50000,500,Active,2025-08-26
CARD200120,C100841,Blue,300000,500,Active,2019-10-17
CARD200121,C100852,Premium,50000,1000,Active,2017-05-17
CARD200122,C107714,Blue,75000,1000,Blocked,2023-08-09
CARD200123,C102574,Blue,150000,0,Active,2025-05-31
CARD200124,C107945,Platinum,100000,2500,Active,2017-05-15
CARD200125,C107672,Gold,150000,2500,Closed,2023-11-05
CARD200126,C102469,Blue,100000,5000,Active,2025-05-21
CARD200127,C105401,Blue,200000,2500,Active,2022-07-31
CARD200128,C100418,Platinum,500000,0,Active,2022-03-15
CARD200129,C105901,Platinum,200000,500,Active,2022-09-15
CARD200130,C102664,Blue,150000,0,Active,2020-08-15
CARD200131,C103405,Gold,100000,2500,Active,2025-10-17
CARD200132,C100552,Blue,150000,2500,Active,2019-05-07
CARD200133,C108841,Blue,200000,500,Active,2022-07-20
CARD200134,C107794,Platinum,200000,0,Active,2022-10-05
CARD200135,C103990,Premium,50000,500,Active,2017-09-13
CARD200136,C107552,Platinum,150000,0,Blocked,2020-03-27
CARD200137,C105231,Platinum,75000,0,Inactive,2025-06-23
CARD200138,C105199,Gold,150000,0,Active,2025-04-02
CARD200139,C100985,Blue,200000,0,Blocked,2024-08-06
CARD200140,C102831,Gold,500000,2500,Closed,2023-08-18
CARD200141,C109822,Gold,50000,0,Active,2023-01-12
CARD200142,C105664,Platinum,100000,0,Active,2020-01-20
CARD200143,C101141,Platinum,50000,0,Active,2019-10-24
CARD200144,C104303,Blue,200000,500,Active,2026-03-11
CARD200145,C103092,Gold,75000,0,Active,2020-02-15
CARD200146,C103872,Platinum,75000,0,Active,2025-08-02
CARD200147,C101041,Gold,50000,2500,Active,2017-05-06
CARD200148,C107344,Gold,200000,1000,Active,2019-06-17
CARD200149,C103146,Blue,50000,0,Active,2018-10-20
CARD200150,C108865,Gold,100000,500,Active,2018-07-15
CARD200151,C103565,Platinum,75000,500,Active,2020-08-14
CARD200152,C106499,Gold,150000,500,Active,2021-11-28
CARD200153,C105452,Platinum,75000,0,Active,2020-04-08
CARD200154,C109234,Premium,75000,500,Active,2022-08-12
CARD200155,C105239,Blue,300000,2500,Active,2026-04-09
CARD200156,C101606,Gold,50000,1000,Active,2020-09-01
CARD200157,C104865,Blue,50000,0,Active,2023-11-02
CARD200158,C107077,Blue,200000,2500,Active,2021-12-01
CARD200159,C101943,Gold,75000,500,Active,2025-11-23
CARD200160,C102980,Gold,75000,1000,Active,2020-01-01
CARD200161,C103135,Gold,50000,500,Active,2018-03-27
CARD200162,C101526,Gold,150000,2500,Active,2021-11-20
CARD200163,C103818,Gold,100000,1000,Active,2019-02-11
CARD200164,C107424,Blue,200000,1000,Inactive,2024-07-15
CARD200165,C106997,Platinum,50000,2500,Active,2018-07-15
CARD200166,C109965,Premium,500000,2500,Blocked,2017-07-25
CARD200167,C102038,Blue,50000,500,Active,2023-11-28
CARD200168,C101307,Platinum,75000,1000,Inactive,2021-08-23
CARD200169,C101532,Platinum,75000,500,Active,2018-11-29
CARD200170,C102457,Blue,200000,1000,Active,2018-01-01
CARD200171,C102604,Gold,100000,0,Active,2022-09-12
CARD200172,C103604,Blue,50000,1000,Active,2022-03-14
CARD200173,C103828,Gold,150000,2500,Active,2021-09-02
CARD200174,C103554,Blue,75000,500,Active,2019-05-22
CARD200175,C104309,Blue,150000,1000,Active,2022-02-19
CARD200176,C100980,Gold,100000,0,Active,2025-05-10
CARD200177,C101282,Blue,50000,2500,Active,2017-02-03
CARD200178,C100332,Gold,300000,500,Active,2025-06-22
CARD200179,C101215,Platinum,75000,500,Active,2021-01-21
CARD200180,C102077,Gold,50000,0,Active,2020-03-02
CARD200181,C106098,Platinum,150000,0,Active,2019-11-21
CARD200182,C102393,Blue,200000,0,Active,2021-05-05
CARD200183,C109934,Gold,100000,500,Active,2023-06-02
CARD200184,C105844,Blue,200000,0,Active,2019-10-07
CARD200185,C103312,Gold,50000,1000,Active,2023-09-26
CARD200186,C102345,Gold,100000,0,Active,2018-03-03
CARD200187,C109894,Gold,150000,1000,Active,2024-05-10
CARD200188,C105207,Gold,200000,500,Active,2019-03-10
CARD200189,C108491,Gold,50000,0,Inactive,2018-05-06
CARD200190,C108713,Blue,150000,500,Blocked,2025-06-17
CARD200191,C100010,Blue,200000,500,Closed,2026-03-30
CARD200192,C104819,Blue,75000,0,Active,2022-03-26
CARD200193,C102969,Platinum,75000,500,Active,2025-11-27
CARD200194,C107017,Premium,150000,1000,Active,2024-06-25
CARD200195,C103669,Blue,100000,1000,Active,2023-02-03
CARD200196,C107884,Gold,100000,2500,Active,2018-01-03
CARD200197,C108748,Blue,300000,1000,Active,2019-03-06
CARD200198,C102687,Gold,50000,500,Inactive,2023-11-15
CARD200199,C102142,Blue,200000,0,Active,2025-08-12
CARD200200,C108817,Premium,200000,500,Active,2020-08-27
CARD200201,C101487,Blue,100000,5000,Active,2021-04-15
CARD200202,C103020,Gold,150000,5000,Active,2021-08-18
CARD200203,C104742,Blue,150000,1000,Active,2021-04-12
CARD200204,C109769,Gold,75000,0,Active,2024-11-05
CARD200205,C104578,Blue,150000,0,Active,2017-04-28
CARD200206,C104924,Blue,50000,5000,Active,2017-07-02
CARD200207,C100423,Platinum,200000,2500,Active,2022-06-15
CARD200208,C104115,Gold,50000,500,Active,2021-08-18
CARD200209,C103664,Gold,100000,500,Active,2018-10-12
CARD200210,C103460,Gold,100000,0,Active,2024-06-25
CARD200211,C102840,Blue,100000,500,Active,2018-04-08
CARD200212,C103513,Premium,150000,1000,Active,2018-03-23
CARD200213,C101802,Blue,150000,0,Closed,2018-08-21
CARD200214,C102395,Platinum,300000,500,Active,2023-02-24
CARD200215,C103597,Platinum,100000,500,Active,2021-10-22
CARD200216,C106507,Gold,150000,2500,Inactive,2025-08-01
CARD200217,C109707,Gold,50000,1000,Active,2024-03-06
CARD200218,C104498,Blue,200000,5000,Inactive,2019-10-25
CARD200219,C101568,Blue,100000,500,Active,2018-08-27
