Payment_ID,Customer_ID,Card_ID,Payment_Date,Due_Amount,Payment_Amount,Payment_Status,Days_Past_Due
PAY400001,C106238,CARD206835,2025-02-10,3272.82,3272.82,On Time,0
PAY400002,C104333,CARD206359,2025-08-02,13767.02,13767.02,On Time,0
PAY400003,C106207,CARD203389,2026-05-20,7437.67,634.02,Missed,68
PAY400004,C100127,CARD200069,2026-08-28,16721.46,9339.12,Partial,32
PAY400005,C102478,CARD208195,2025-07-07,5012.75,5012.75,On Time,0
PAY400006,C108066,CARD205722,2025-06-21,6226.77,6226.77,On Time,0
PAY400007,C101192,CARD208649,2025-01-14,3266.6,3266.6,On Time,0
PAY400008,C109289,CARD209801,2025-10-16,3824.41,3824.41,On Time,0
PAY400009,C101939,CARD201473,2026-07-09,4107.03,4107.03,On Time,0
PAY400010,C104707,CARD202647,2025-10-23,5480.55,5480.55,On Time,0
PAY400011,C108262,CARD206173,2025-07-27,2469.3,1738.29,Partial,19
PAY400012,C101057,CARD210634,2025-12-26,1873.13,1873.13,On Time,0
PAY400013,C104055,CARD206914,2026-01-07,5985.65,5985.65,On Time,0
PAY400014,C100543,CARD209559,2026-04-18,4939.14,662.47,Missed,117
PAY400015,C101450,CARD208548,2026-07-02,3389.97,3389.97,Late,23
PAY400016,C101112,CARD200362,2025-02-13,31545.26,31545.26,On Time,0
PAY400017,C105057,CARD207637,2025-02-13,4879.44,4879.44,On Time,0
PAY400018,C104771,CARD211001,2026-06-12,5583.61,5583.61,Late,1
PAY400019,C101923,CARD210395,2025-01-21,4504.01,4504.01,Late,20
PAY400020,C106437,CARD211864,2025-09-08,7403.43,7403.43,On Time,0
PAY400021,C105080,CARD210174,2025-08-09,2235.98,2235.98,On Time,0
PAY400022,C104534,CARD208671,2026-05-13,3286.16,3286.16,On Time,0
PAY400023,C104036,CARD201122,2025-05-04,6088.88,6088.88,On Time,0
PAY400024,C104771,CARD211001,2025-10-04,14306.71,14306.71,On Time,0
PAY400025,C103571,CARD200934,2025-11-17,7228.3,7228.3,Late,7
