Transaction_ID,Customer_ID,Card_ID,Transaction_Date,Merchant_Category,Transaction_Amount,Transaction_Type,Transaction_Status,Payment_Method,Location
TXN300001,C107725,CARD207869,2026-05-05,Electronics,276.12,Purchase,Approved,Online,Domestic
TXN300002,C107631,CARD207426,2026-01-10,Healthcare,3144.24,Purchase,Approved,ATM,Domestic
TXN300003,C102355,CARD207915,2025-09-26,Fuel,763.3,Purchase,Approved,ATM,Domestic
TXN300004,C103058,CARD201578,2025-02-10,Grocery,3250.89,Purchase,Approved,Online,Domestic
TXN300005,C104932,CARD206670,2026-06-12,Utilities,1156.57,Purchase,Approved,POS,Domestic
TXN300006,C100712,CARD210823,2026-03-05,Healthcare,2004.83,Purchase,Approved,POS,Domestic
TXN300007,C109397,CARD210265,2026-03-22,Fuel,5168.25,Cash Withdrawal,Approved,POS,Domestic
TXN300008,C104772,CARD209298,2026-08-14,Utilities,1192.21,Purchase,Approved,Online,International
TXN300009,C105574,CARD203357,2025-09-11,Electronics,1270.77,Purchase,Approved,Online,Domestic
TXN300010,C108713,CARD209036,2025-08-16,Fuel,3500.49,Purchase,Approved,Online,Domestic
TXN300011,C109412,CARD209079,2025-07-27,Dining,4616.5,Cash Withdrawal,Approved,Online,Domestic
TXN300012,C102877,CARD206118,2026-02-17,Education,1009.09,Purchase,Approved,Online,Domestic
TXN300013,C106347,CARD204001,2026-07-30,Electronics,445.4,Purchase,Declined,POS,International
TXN300014,C105640,CARD211641,2025-07-12,Healthcare,8433.33,Purchase,Approved,Online,Domestic
TXN300015,C106904,CARD203199,2026-03-11,Entertainment,5250.76,Purchase,Approved,POS,Domestic
TXN300016,C101542,CARD208474,2026-02-27,Electronics,405.35,Purchase,Approved,POS,Domestic
TXN300017,C101536,CARD203681,2026-01-22,Travel,1499.83,Purchase,Approved,Contactless,Domestic
TXN300018,C101558,CARD211464,2025-06-15,Travel,6787.17,Purchase,Approved,Online,Domestic
TXN300019,C101216,CARD200402,2025-06-09,Fuel,4286.73,Cash Withdrawal,Approved,POS,Domestic
TXN300020,C107509,CARD204049,2026-03-02,Entertainment,7765.47,Purchase,Approved,Online,Domestic
TXN300021,C106854,CARD204830,2026-01-06,Travel,1060.1,Purchase,Declined,Online,Domestic
TXN300022,C102440,CARD206735,2026-03-13,Utilities,1609.54,Purchase,Approved,Online,Domestic
TXN300023,C104817,CARD206930,2025-12-11,Electronics,195.73,Purchase,Approved,POS,Domestic
TXN300024,C103401,CARD203876,2025-07-03,Grocery,2812.22,Purchase,Approved,POS,Domestic
TXN300025,C106586,CARD203921,2025-05-14,Travel,2248.02,Purchase,Approved,Contactless,Domestic
TXN300026,C109018,CARD200415,2025-12-16,Electronics,5229.75,Purchase,Declined,Contactless,Domestic
TXN300027,C105175,CARD204753,2025-03-24,Fuel,3370.59,Recurring Payment,Approved,Online,Domestic
TXN300028,C106454,CARD210810,2025-05-11,Online Shopping,3421.16,Purchase,Approved,Online,Domestic
TXN300029,C105710,CARD206613,2025-12-08,Dining,1472.99,Purchase,Approved,POS,Domestic
TXN300030,C104877,CARD203748,2025-07-14,Utilities,980.41,Recurring Payment,Approved,POS,Domestic
TXN300031,C106198,CARD208604,2026-05-17,Dining,1573.9,Cash Withdrawal,Approved,Online,Domestic
TXN300032,C105131,CARD207580,2026-02-08,Grocery,1352.56,Purchase,Approved,ATM,Domestic
TXN300033,C100045,CARD201357,2025-07-20,Electronics,2806.72,Purchase,Approved,ATM,Domestic
TXN300034,C102304,CARD208143,2025-05-11,Dining,729.25,Purchase,Approved,POS,Domestic
TXN300035,C104453,CARD210146,2025-11-18,Education,2391.39,Purchase,Approved,Online,Domestic
TXN300036,C104686,CARD208321,2026-05-01,Travel,5591.11,Purchase,Approved,POS,Domestic
TXN300037,C101484,CARD208196,2025-08-06,Entertainment,969.7,Purchase,Approved,Contactless,Domestic
TXN300038,C107241,CARD211782,2025-03-20,Education,1438.09,Purchase,Approved,Contactless,Domestic
TXN300039,C101494,CARD207231,2025-11-12,Education,839.91,Purchase,Approved,POS,Domestic
